price,area,bedrooms,bathrooms,parking,mainroad,guestroom,basement,centralheating,airconditioning,prefarea,furnishingstatus
93744,6670,3,1,0,yes,no,yes,no,no,yes,unfurnished
93240,3960,3,1,2,yes,no,yes,no,no,no,semi-furnished
93240,7410,3,1,2,yes,yes,yes,no,yes,yes,unfurnished
92736,8580,,3,2,yes,no,no,no,no,no,furnished
92736,5000,3,1,0,yes,no,no,no,yes,no,semi-furnished
92433,6750,2,1,2,yes,yes,yes,no,no,yes,furnished
92232,4800,3,2,0,yes,yes,no,no,yes,no,furnished
90720,7200,3,2,3,yes,no,yes,no,yes,no,semi-furnished
90720,6000,4,2,1,yes,no,no,no,no,no,semi-furnished
90720,4100,3,2,2,yes,no,no,no,yes,no,semi-furnished
90720,9000,3,1,1,yes,no,yes,no,no,yes,furnished
90720,6400,3,1,1,yes,yes,yes,no,yes,yes,semi-furnished
90619,6600,3,2,0,yes,no,no,no,yes,yes,unfurnished
NA,6000,4,1,0,yes,yes,yes,no,no,yes,unfurnished
89712,6600,3,,0,yes,no,yes,no,yes,yes,unfurnished
89712,5500,3,1,1,yes,no,no,no,no,yes,unfurnished
89208,5500,3,2,1,yes,yes,no,no,yes,no,semi-furnished
89208,6350,3,2,0,yes,yes,no,no,yes,no,furnished
89208,5500,3,2,2,yes,yes,yes,no,no,yes,furnished
88704,4500,3,1,0,yes,no,no,no,yes,no,unfurnished
88704,5450,4,2,0,yes,no,yes,no,yes,yes,semi-furnished
88200,6420,3,1,0,yes,no,yes,no,no,yes,unfurnished
87948,3240,4,1,1,yes,no,no,no,no,no,semi-furnished
87696,6615,4,2,1,yes,yes,no,yes,no,no,semi-furnished
87696,6600,3,1,2,yes,yes,yes,no,no,yes,semi-furnished
87696,8372,3,1,2,yes,no,no,no,yes,no,unfurnished
87595,4300,6,2,0,yes,no,no,no,no,no,furnished
87595,9620,3,1,2,yes,no,yes,no,no,yes,furnished
86688,6800,2,1,2,yes,yes,yes,no,no,no,furnished
86688,8000,3,1,2,yes,yes,yes,no,yes,yes,semi-furnished
86688,6900,3,2,0,yes,yes,yes,no,no,yes,unfurnished
85680,3700,4,1,0,yes,yes,no,no,yes,no,furnished
85680,6420,3,1,0,yes,no,yes,no,yes,yes,furnished
85680,7020,3,1,2,yes,no,yes,no,yes,yes,semi-furnished
NA,6540,3,1,2,yes,yes,yes,no,no,yes,furnished
85680,7231,3,1,0,yes,yes,yes,no,yes,yes,semi-furnished
85680,6254,4,2,1,yes,no,yes,no,no,yes,semi-furnished
85680,7320,4,2,0,yes,no,no,no,no,no,furnished
85680,6525,3,2,1,yes,no,no,no,no,no,furnished
85579,15600,3,1,2,yes,no,no,no,yes,no,semi-furnished
84672,7160,3,1,2,yes,no,yes,no,no,yes,unfurnished
84672,6500,3,2,0,yes,no,no,no,yes,no,unfurnished
84571,5500,3,1,1,yes,yes,no,no,yes,no,furnished
84571,11460,3,1,2,yes,no,no,no,no,yes,semi-furnished
84470,4800,3,1,0,yes,yes,yes,no,no,no,unfurnished
83664,5828,4,1,0,yes,yes,no,no,no,no,semi-furnished
83664,5200,3,1,0,yes,no,no,no,yes,no,semi-furnished
83664,4800,3,1,0,yes,no,no,no,yes,no,unfurnished
NA,7000,3,1,2,yes,no,yes,no,no,yes,semi-furnished
83160,6000,3,2,0,yes,no,no,no,yes,no,unfurnished
82656,5400,4,2,2,yes,no,no,no,yes,no,unfurnished
82656,4640,4,1,1,yes,no,no,no,no,no,semi-furnished
82656,5000,3,1,0,yes,no,no,no,yes,no,semi-furnished
82656,6360,3,1,2,yes,yes,yes,no,yes,yes,furnished
82656,5800,3,2,0,yes,no,no,no,yes,no,unfurnished
81396,6660,4,2,1,yes,yes,yes,no,no,yes,semi-furnished
80640,10500,4,2,1,yes,no,no,no,no,no,semi-furnished
80640,4800,5,2,0,no,no,yes,yes,no,no,unfurnished
80640,4700,4,1,1,yes,yes,yes,no,yes,no,furnished
80640,5000,3,1,0,yes,no,no,no,no,no,furnished
80640,10500,2,1,1,yes,no,no,no,no,no,semi-furnished
80640,5500,3,2,1,yes,no,no,no,no,no,semi-furnished
80640,6360,3,1,0,yes,no,no,no,no,yes,semi-furnished
80640,6600,4,2,0,yes,no,yes,no,no,yes,semi-furnished
80640,5136,3,1,0,yes,yes,yes,no,yes,yes,unfurnished
80136,4400,4,1,2,yes,no,no,no,yes,yes,semi-furnished
80136,5400,5,1,0,yes,yes,yes,no,yes,yes,furnished
79632,3300,3,3,0,yes,no,yes,no,no,no,semi-furnished
79632,3650,3,2,2,yes,no,no,no,no,no,semi-furnished
NA,6100,3,2,2,yes,no,yes,no,no,yes,furnished
79531,6900,3,1,0,yes,yes,yes,no,no,yes,semi-furnished
79128,2817,4,2,1,no,yes,yes,no,no,no,furnished
79128,7980,3,1,2,yes,no,no,no,no,no,semi-furnished
78624,3150,3,2,0,yes,yes,yes,no,yes,no,furnished
78624,6210,,1,0,yes,yes,no,no,yes,no,furnished
78624,6100,3,1,0,yes,yes,no,no,yes,yes,semi-furnished
78624,6600,4,2,0,yes,yes,yes,no,no,yes,semi-furnished
78120,6825,3,1,0,yes,yes,yes,no,yes,yes,semi-furnished
77616,6710,3,2,1,yes,yes,yes,no,no,yes,furnished
77515,6450,3,2,0,yes,yes,yes,yes,no,no,unfurnished
76608,7800,3,1,2,yes,no,yes,no,yes,yes,unfurnished
76104,4600,2,2,2,yes,no,no,no,yes,no,semi-furnished
75600,4260,4,1,0,yes,no,yes,no,yes,no,furnished
75600,6540,4,2,0,no,no,no,no,yes,no,semi-furnished
75600,5500,3,2,0,yes,no,yes,no,no,no,semi-furnished
75600,10269,3,1,1,yes,no,no,no,no,yes,semi-furnished
75600,8400,3,1,2,yes,yes,yes,no,yes,yes,unfurnished
NA,5300,4,2,0,yes,no,no,no,yes,yes,unfurnished
75600,3800,3,1,1,yes,yes,yes,no,no,yes,unfurnished
75600,9800,4,2,2,yes,yes,no,no,no,no,semi-furnished
75600,8520,3,1,2,yes,no,no,no,yes,no,furnished
75499,6050,3,1,0,yes,no,yes,no,no,yes,semi-furnished
75297,7085,3,1,2,yes,yes,yes,no,no,yes,semi-furnished
75096,3180,3,2,2,yes,no,no,no,no,no,semi-furnished
75096,4500,4,2,2,no,no,yes,no,yes,no,semi-furnished
75096,7200,3,,1,yes,yes,yes,no,no,yes,furnished
74088,3410,3,1,0,no,no,no,no,yes,no,semi-furnished
74088,7980,3,1,1,yes,no,no,no,no,yes,semi-furnished
73584,3000,3,2,0,yes,yes,yes,no,no,no,furnished
73584,3000,3,1,0,yes,no,yes,no,no,no,unfurnished
73584,11410,2,1,0,yes,no,no,no,no,yes,furnished
73584,6100,3,1,0,yes,no,yes,no,yes,yes,semi-furnished
73080,5720,2,1,0,yes,no,no,no,yes,yes,unfurnished
72576,3540,2,1,0,no,yes,yes,no,no,no,semi-furnished
72576,7600,4,1,2,yes,no,no,no,yes,no,furnished
72576,10700,3,1,0,yes,yes,yes,no,no,no,semi-furnished
72576,6600,3,1,0,yes,yes,yes,no,no,yes,furnished
72475,4800,2,1,0,yes,yes,yes,no,no,no,semi-furnished
72072,8150,3,2,0,yes,yes,yes,no,no,no,semi-furnished
71568,4410,4,3,2,yes,no,yes,no,no,no,semi-furnished
71568,7686,3,1,0,yes,yes,yes,yes,no,no,semi-furnished
71366,2800,3,2,1,no,no,yes,no,yes,no,semi-furnished
71064,5948,3,1,0,yes,no,no,no,yes,no,semi-furnished
70660,4200,3,1,1,yes,no,no,no,no,no,furnished
NA,4520,3,1,0,yes,no,yes,no,yes,no,semi-furnished
70560,4095,3,1,0,no,yes,yes,no,yes,no,semi-furnished
70560,4120,2,1,1,yes,no,yes,no,no,no,semi-furnished
70560,5400,4,1,0,yes,no,no,no,no,no,semi-furnished
70560,4770,3,1,0,yes,yes,yes,no,no,no,semi-furnished
70560,6300,3,1,2,yes,no,no,no,yes,no,semi-furnished
70560,5800,2,1,0,yes,yes,yes,no,yes,no,semi-furnished
70560,3000,3,1,0,yes,no,yes,no,yes,no,semi-furnished
70560,2970,3,1,0,yes,no,no,no,no,no,semi-furnished
70560,6720,3,1,0,yes,no,no,no,no,no,unfurnished
70560,4646,3,1,2,yes,yes,yes,no,no,no,semi-furnished
70560,12900,3,1,2,yes,no,no,no,no,no,furnished
70459,3420,4,2,2,yes,no,yes,no,yes,no,semi-furnished
70459,4995,4,2,0,yes,no,yes,no,no,no,semi-furnished
70056,4350,2,1,0,yes,no,yes,no,no,no,unfurnished
69552,4160,3,1,0,yes,no,no,no,no,no,unfurnished
69552,6040,3,1,2,yes,no,no,no,no,yes,semi-furnished
69552,6862,3,1,2,yes,no,no,no,yes,yes,furnished
NA,4815,2,1,0,yes,no,no,no,yes,yes,semi-furnished
69048,7000,3,1,0,yes,no,yes,no,no,no,unfurnished
69048,8100,4,1,2,yes,no,yes,no,yes,no,semi-furnished
68644,3420,4,2,0,yes,no,no,no,no,no,semi-furnished
68544,9166,2,1,2,yes,no,yes,no,yes,no,semi-furnished
68544,6321,3,1,1,yes,no,yes,no,yes,no,furnished
68544,10240,2,1,2,yes,no,no,no,yes,yes,unfurnished
68443,6440,2,1,3,yes,no,no,no,yes,no,semi-furnished
67536,5170,3,1,0,yes,no,no,no,yes,no,semi-furnished
67536,6000,2,1,1,yes,no,yes,no,yes,no,furnished
67536,3630,3,1,2,yes,no,no,no,no,no,semi-furnished
67536,9667,4,2,1,yes,yes,yes,no,no,no,semi-furnished
67536,5400,2,1,0,yes,no,no,no,no,yes,semi-furnished
67536,4320,3,1,0,yes,no,no,no,no,yes,semi-furnished
67032,3745,3,1,0,yes,no,yes,no,no,no,furnished
66528,4160,3,1,0,yes,yes,yes,no,yes,no,unfurnished
66528,3880,3,2,2,yes,no,yes,no,no,no,semi-furnished
66528,5680,3,1,1,yes,yes,no,no,yes,no,semi-furnished
66528,2870,2,1,0,yes,yes,yes,no,no,yes,semi-furnished
66528,5010,3,1,0,yes,no,yes,no,no,no,semi-furnished
66427,4510,4,2,0,yes,no,yes,no,no,no,semi-furnished
66024,4000,3,1,1,yes,no,no,no,no,no,furnished
66024,3840,3,1,1,yes,no,no,no,no,yes,semi-furnished
65520,3760,3,1,2,yes,no,no,no,no,no,semi-furnished
65520,3640,3,1,0,yes,no,no,no,yes,no,furnished
65520,2550,3,1,0,yes,no,yes,no,no,no,furnished
65520,5320,3,1,0,yes,yes,yes,no,no,yes,semi-furnished
65520,5360,3,1,2,yes,no,no,no,no,yes,unfurnished
65520,3520,3,1,0,yes,no,no,no,no,yes,semi-furnished
65520,8400,4,1,3,yes,no,no,no,no,no,unfurnished
65419,4100,2,2,0,yes,yes,yes,no,no,no,semi-furnished
65419,4990,4,2,0,yes,yes,yes,no,no,yes,furnished
65016,3510,,1,0,yes,no,no,no,no,no,semi-furnished
65016,3450,3,1,1,yes,no,yes,no,no,no,semi-furnished
NA,9860,3,1,0,yes,no,no,no,no,no,semi-furnished
65016,3520,2,1,0,yes,no,no,no,no,yes,furnished
64512,4510,4,1,2,yes,no,no,no,yes,no,semi-furnished
64512,5885,2,1,1,yes,no,no,no,yes,no,unfurnished
64512,4000,3,1,2,yes,no,no,no,no,no,furnished
64512,8250,3,1,0,yes,no,no,no,no,no,furnished
64512,4040,3,1,1,yes,no,no,no,no,no,semi-furnished
64411,6360,2,1,1,yes,no,yes,no,yes,no,furnished
64411,3162,3,1,1,yes,no,no,no,yes,no,furnished
64411,3510,3,1,0,yes,no,no,no,no,no,semi-furnished
64008,3750,2,1,0,yes,yes,yes,no,no,no,semi-furnished
63504,3968,3,1,0,no,no,no,no,no,no,semi-furnished
NA,4900,2,1,0,yes,no,yes,no,no,no,semi-furnished
63403,2880,3,1,0,yes,no,no,no,no,yes,semi-furnished
63403,4880,3,1,2,yes,no,no,no,no,yes,unfurnished
63403,4920,3,1,1,yes,no,no,no,no,no,semi-furnished
63100,4950,4,1,0,yes,no,no,no,yes,no,semi-furnished
63000,3900,3,1,0,yes,no,no,no,no,no,unfurnished
62496,4500,3,2,1,yes,no,no,yes,no,no,furnished
62496,1905,5,1,0,no,no,yes,no,no,no,semi-furnished
62496,4075,3,1,2,yes,yes,yes,no,no,no,semi-furnished
62496,3500,4,1,2,yes,no,no,no,no,no,furnished
62496,6450,4,1,0,yes,no,no,no,no,no,semi-furnished
62193,4032,2,1,0,yes,no,yes,no,no,no,furnished
61992,4400,2,1,1,yes,no,no,no,no,no,semi-furnished
61992,10360,2,1,1,yes,no,no,no,no,yes,semi-furnished
61588,3400,3,1,2,yes,no,yes,no,no,yes,semi-furnished
61488,6360,2,1,0,yes,no,no,no,no,no,furnished
61488,6360,2,1,0,yes,no,no,no,no,no,unfurnished
61488,4500,2,1,2,yes,no,no,no,yes,no,furnished
61488,2175,3,1,0,no,yes,yes,no,yes,no,unfurnished
61488,4360,4,1,0,yes,no,no,no,no,no,furnished
61488,7770,2,1,1,yes,no,no,no,no,no,furnished
60984,6650,3,1,0,yes,yes,no,no,no,no,semi-furnished
60984,2787,3,1,0,yes,no,yes,no,no,yes,furnished
60480,5500,3,1,0,yes,no,no,no,yes,no,unfurnished
60480,5040,3,1,0,yes,no,yes,no,yes,no,unfurnished
60480,5850,2,1,2,yes,yes,yes,no,no,no,semi-furnished
60480,2610,4,3,0,no,no,no,no,no,no,semi-furnished
60480,2953,3,1,0,yes,no,yes,no,yes,no,unfurnished
60480,2747,4,2,0,no,no,no,no,no,no,semi-furnished
NA,4410,2,1,1,no,no,no,no,no,no,unfurnished
60480,4000,4,2,0,no,no,no,no,no,no,semi-furnished
60480,2325,3,1,0,no,no,no,no,no,no,semi-furnished
60480,4600,3,2,1,yes,no,no,no,yes,no,semi-furnished
60480,3640,3,2,0,yes,no,yes,no,no,no,unfurnished
60480,5800,3,1,2,yes,no,no,yes,no,no,semi-furnished
60480,7000,3,1,3,yes,no,no,no,no,no,furnished
60480,4079,3,1,0,yes,no,no,no,no,no,semi-furnished
60480,3520,3,1,0,yes,no,no,no,no,yes,semi-furnished
60480,2145,3,1,1,yes,no,no,no,no,yes,unfurnished
60480,4500,3,1,0,yes,no,yes,no,no,no,furnished
60379,8250,3,1,3,yes,no,yes,no,no,no,semi-furnished
60379,3450,3,1,1,yes,no,no,no,no,no,semi-furnished
NA,4840,3,1,1,yes,no,no,no,no,no,semi-furnished
59976,4080,3,1,2,yes,no,no,no,no,no,semi-furnished
59976,4046,3,1,1,yes,no,yes,no,no,no,semi-furnished
59472,4632,4,1,0,yes,no,no,no,yes,no,semi-furnished
59472,5985,3,1,0,yes,no,yes,no,no,no,semi-furnished
59371,6060,2,1,1,yes,no,yes,no,no,no,semi-furnished
59018,3600,3,1,0,yes,no,yes,no,yes,yes,furnished
58968,3680,3,2,0,yes,no,no,no,no,no,semi-furnished
58968,4040,2,1,1,yes,no,no,no,no,no,semi-furnished
58968,5600,2,1,0,yes,no,no,no,yes,no,semi-furnished
58464,5900,4,2,1,no,no,yes,no,no,no,unfurnished
58464,4992,3,2,2,yes,no,no,no,no,no,unfurnished
NA,4340,3,1,0,yes,no,no,no,no,no,semi-furnished
58464,3000,4,1,2,yes,no,yes,no,yes,no,semi-furnished
58464,4320,3,1,2,yes,no,no,no,no,yes,furnished
57960,3630,3,2,2,yes,no,no,yes,no,no,semi-furnished
57960,3460,3,2,1,yes,no,yes,no,yes,no,furnished
57960,5400,3,1,3,yes,no,no,no,no,no,semi-furnished
57708,4500,3,1,0,no,no,yes,no,yes,no,semi-furnished
57708,3460,4,1,0,yes,no,no,no,yes,no,semi-furnished
57456,4100,4,1,0,no,no,yes,no,no,no,unfurnished
57456,6480,3,1,1,no,no,no,no,yes,no,semi-furnished
57456,4500,3,2,0,no,no,yes,no,yes,no,semi-furnished
57456,3960,3,1,0,yes,no,no,no,no,no,furnished
57456,4050,2,1,0,yes,yes,yes,no,no,yes,unfurnished
56448,7260,3,2,3,yes,yes,yes,no,no,no,furnished
56448,5500,4,,0,yes,yes,yes,no,no,no,semi-furnished
56448,3000,3,1,0,yes,no,no,no,no,no,semi-furnished
56448,3290,2,1,1,yes,no,no,yes,no,no,furnished
56448,3816,2,1,2,yes,no,yes,no,yes,no,furnished
56448,8080,3,1,2,yes,no,no,no,yes,no,semi-furnished
56448,2145,4,2,0,yes,no,yes,no,no,yes,unfurnished
55944,3780,2,1,0,yes,yes,yes,no,no,no,semi-furnished
55944,3180,4,2,0,yes,no,no,no,no,no,furnished
55440,5300,5,2,0,yes,no,no,no,no,no,semi-furnished
55440,3180,2,2,2,yes,no,yes,no,no,no,semi-furnished
55440,7152,3,1,0,yes,no,no,no,yes,no,furnished
55440,4080,2,1,0,yes,no,no,no,no,no,semi-furnished
55440,3850,2,1,0,yes,no,no,no,no,no,semi-furnished
55440,2015,3,1,0,yes,no,yes,no,no,yes,semi-furnished
55440,2176,2,1,0,yes,yes,no,no,no,yes,semi-furnished
55238,3350,3,1,0,yes,no,no,no,no,no,unfurnished
54936,3150,2,2,0,no,no,yes,no,no,no,semi-furnished
54432,4820,3,1,0,yes,no,no,no,no,no,semi-furnished
54432,3420,2,1,1,yes,no,no,yes,no,no,semi-furnished
54432,3600,2,1,0,yes,no,no,no,no,no,semi-furnished
NA,5830,2,1,2,yes,no,no,no,no,no,unfurnished
54432,2856,3,1,0,yes,no,no,no,no,yes,furnished
54432,8400,2,1,1,yes,no,no,no,no,no,furnished
54331,8250,3,1,2,yes,no,no,no,no,no,furnished
54331,2520,5,2,1,no,no,yes,no,yes,no,furnished
54331,6930,4,1,1,no,no,no,no,no,no,furnished
53928,3480,2,1,0,yes,no,no,no,no,yes,semi-furnished
53424,3600,3,1,1,yes,no,no,no,no,no,unfurnished
NA,4040,2,1,0,yes,no,no,no,no,no,semi-furnished
53424,6020,3,1,0,yes,no,no,no,no,no,semi-furnished
53424,4050,2,1,0,yes,no,no,no,no,no,furnished
53424,3584,2,1,0,yes,no,no,yes,no,no,semi-furnished
53323,3120,3,1,0,no,no,yes,yes,no,no,semi-furnished
53323,5450,2,1,0,yes,no,no,no,no,no,furnished
52920,3630,2,1,0,yes,no,yes,no,no,no,furnished
52920,3630,2,1,0,yes,no,no,no,yes,no,unfurnished
52920,5640,2,1,0,no,no,no,no,no,no,semi-furnished
52920,3600,2,1,0,yes,no,no,no,no,no,furnished
52416,4280,2,1,2,yes,no,no,no,yes,no,semi-furnished
NA,3570,3,1,0,yes,no,yes,no,no,no,semi-furnished
52416,3180,3,1,0,no,no,yes,no,no,no,semi-furnished
52416,3000,2,1,0,yes,no,no,no,yes,no,furnished
52416,3520,2,2,0,yes,no,yes,no,no,no,semi-furnished
52416,5960,3,1,0,yes,yes,yes,no,no,no,unfurnished
52416,4130,3,2,2,yes,no,no,no,no,no,semi-furnished
52416,2850,3,2,0,no,no,yes,no,no,yes,unfurnished
52416,2275,3,1,0,yes,no,no,yes,yes,yes,semi-furnished
52315,3520,3,1,2,yes,no,no,no,no,yes,unfurnished
51912,4500,2,1,0,yes,no,no,no,no,no,semi-furnished
51912,4000,2,1,0,yes,no,no,no,no,yes,semi-furnished
51408,3150,3,1,0,yes,no,yes,no,no,no,furnished
51408,4500,4,2,2,yes,no,yes,no,no,no,furnished
51408,4500,2,1,0,no,no,no,no,no,no,furnished
51408,3640,2,1,0,yes,no,no,no,no,no,unfurnished
50904,3850,3,1,2,yes,no,no,no,no,no,unfurnished
NA,4240,3,1,0,yes,no,no,no,yes,no,semi-furnished
50400,3650,3,1,0,yes,no,no,no,no,no,unfurnished
50400,4600,4,1,0,yes,no,no,no,no,no,semi-furnished
50400,2135,3,2,0,no,no,no,no,no,no,unfurnished
50400,3036,3,1,0,yes,no,yes,no,no,no,semi-furnished
50400,3990,3,1,0,yes,no,no,no,no,no,semi-furnished
50400,7424,,1,0,no,no,no,no,no,no,unfurnished
50400,3480,3,1,0,no,no,no,no,yes,no,unfurnished
50400,3600,6,1,1,yes,no,no,no,no,no,unfurnished
50400,3640,2,1,1,yes,no,no,no,no,no,semi-furnished
50400,5900,2,1,1,yes,no,no,no,no,no,furnished
50400,3120,3,1,1,yes,no,no,no,no,no,unfurnished
50400,7350,2,1,1,yes,no,no,no,no,no,semi-furnished
50400,3512,2,1,1,yes,no,no,no,no,yes,unfurnished
50400,9500,3,1,3,yes,no,no,no,no,yes,unfurnished
50400,5880,2,1,0,yes,no,no,no,no,no,unfurnished
50400,12944,3,1,0,yes,no,no,no,no,no,unfurnished
50299,4900,3,1,0,no,no,no,no,no,no,unfurnished
49896,3060,3,1,0,yes,no,no,no,no,no,unfurnished
49896,5320,2,1,1,yes,no,no,no,no,yes,unfurnished
49896,2145,3,1,0,yes,no,no,no,no,yes,furnished
49392,4000,2,1,0,yes,no,no,no,no,no,unfurnished
49392,3185,2,1,2,yes,no,no,no,no,no,unfurnished
49392,3850,3,1,0,yes,no,no,no,no,no,unfurnished
49392,2145,3,1,0,yes,no,no,no,no,yes,furnished
49392,2610,3,1,0,yes,no,yes,no,no,yes,unfurnished
NA,1950,3,2,0,yes,no,yes,no,no,yes,unfurnished
49291,4040,2,1,0,yes,no,no,no,no,no,unfurnished
48888,4785,3,1,1,yes,yes,yes,no,yes,no,furnished
48888,3450,3,1,2,yes,no,yes,no,no,no,unfurnished
48888,3640,2,1,0,yes,no,no,no,no,no,furnished
48384,3500,4,1,2,yes,no,no,no,yes,no,unfurnished
48384,4960,4,1,0,no,no,no,no,no,no,semi-furnished
48384,4120,2,1,0,yes,no,no,no,no,no,unfurnished
48384,4750,2,1,0,yes,no,no,no,no,no,unfurnished
48384,3720,2,1,0,no,no,no,no,yes,no,unfurnished
48384,3750,3,1,0,yes,no,no,no,no,no,unfurnished
48384,3100,3,1,0,no,no,yes,no,no,no,semi-furnished
48384,3185,2,1,2,yes,no,yes,no,no,no,furnished
48283,2700,3,1,0,no,no,no,no,no,no,furnished
47980,2145,3,1,0,yes,no,yes,no,no,yes,furnished
47880,4040,2,1,1,yes,no,no,no,no,no,unfurnished
47880,4775,4,1,0,yes,no,no,no,no,no,unfurnished
47376,2500,2,1,0,no,no,no,no,yes,no,unfurnished
47376,3180,4,1,0,yes,no,yes,no,yes,no,unfurnished
